gongitsune-by-nankichi-niimi-00001|ごん 狐 新美 南吉|g o N _ k i ts u n e _ n i: m i _ n a N k i ch i
gongitsune-by-nankichi-niimi-00002|一 これ は 、 わたし が 小さい とき に 、|i ch i _ k o r e _ w a , w a t a sh i _ g a _ ch i: s a i _ t o k i _ n i ,
gongitsune-by-nankichi-niimi-00003|村 の も へい と いう お じい さん から きい た お 話 です 。|m u r a _ n o _ m o _ h e: _ t o _ y u: _ o _ j i: _ s a N _ k a r a _ k i: _ t a _ o _ h a n a sh i _ d e s u .
gongitsune-by-nankichi-niimi-00004|むかし は 、 私 たち の 村 の ちかく の 、|m u k a sh i _ w a , w a t a k u sh i _ t a ch i _ n o _ m u r a _ n o _ ch i k a k u _ n o ,
gongitsune-by-nankichi-niimi-00005|なか やま と いう ところ に 小さな お 城 が あっ て 、|n a k a _ y a m a _ t o _ y u: _ t o k o r o _ n i _ ch i: s a n a _ o _ sh i r o _ g a _ a q _ t e ,
gongitsune-by-nankichi-niimi-00006|中山 さま と いう おと の さま が 、 おら れ た そう です 。|n a k a y a m a _ s a m a _ t o _ y u: _ o t o _ n o _ s a m a _ g a , o r a _ r e _ t a _ s o: _ d e s u .
gongitsune-by-nankichi-niimi-00007|その 中山 から 、 少し はなれ た 山 の 中 に 、|s o n o _ n a k a y a m a _ k a r a , s u k o sh i _ h a n a r e _ t a _ y a m a _ n o _ n a k a _ n i ,
gongitsune-by-nankichi-niimi-00008|「 ごん ぎつね 」 と いう 狐 が い まし た 。 ごん は 、 ひとりぼっち の 小 狐 で 、|g o N _ g i ts u n e _ t o _ y u: _ k i ts u n e _ g a _ i _ m a sh i _ t a . g o N _ w a , h i t o r i b o q ch i _ n o _ k o _ k i ts u n e _ d e ,
gongitsune-by-nankichi-niimi-00009|しだ の 一ぱい しげっ た 森 の 中 に 穴 を ほっ て 住ん で い まし た 。|sh i d a _ n o _ i q p a i _ sh i g e q _ t a _ m o r i _ n o _ n a k a _ n i _ a n a _ o _ h o q _ t e _ s u N _ d e _ i _ m a sh i _ t a .
gongitsune-by-nankichi-niimi-00010|そして 、 夜 で も 昼 で も 、|s o sh i t e , y o r u _ d e _ m o _ h i r u _ d e _ m o ,
gongitsune-by-nankichi-niimi-00011|あたり の 村 へ 出 て き て 、 いたずら ばかり し まし た 。|a t a r i _ n o _ m u r a _ e _ d e _ t e _ k i _ t e , i t a z u r a _ b a k a r i _ sh i _ m a sh i _ t a .
gongitsune-by-nankichi-niimi-00012|はたけ へ 入っ て 芋 を ほり ちらし たり 、|h a t a k e _ e _ h a i q _ t e _ i m o _ o _ h o r i _ ch i r a sh i _ t a r i ,
gongitsune-by-nankichi-niimi-00013|なたね がら の 、 ほし て ある の へ 火 を つけ たり 、 ひゃくしょう や の|n a t a n e _ g a r a _ n o , h o sh i _ t e _ a r u _ n o _ e _ h i _ o _ ts u k e _ t a r i , hy a k u sh o: _ y a _ n o
gongitsune-by-nankichi-niimi-00014|裏手 に つるし て ある とんがらし を むしりとっ て 、 いっ たり 、|u r a t e _ n i _ ts u r u sh i _ t e _ a r u _ t o N g a r a sh i _ o _ m u sh i r i t o q _ t e , i q _ t a r i ,
gongitsune-by-nankichi-niimi-00015|いろんな こと を し まし た 。 ある あき の こと でし|i r o N n a _ k o t o _ o _ sh i _ m a sh i _ t a . a r u _ a k i _ n o _ k o t o _ d e sh i
gongitsune-by-nankichi-niimi-00016|た 。 二 、 三 日 雨 が ふり つづい た その あいだ 、|t a . n i , m i q _ k a _ u _ g a _ f u r i _ ts u z u i _ t a _ s o n o _ a i d a ,
gongitsune-by-nankichi-niimi-00017|ごん は 、 外 へ も 出 られ なく て 穴 の 中 に しゃがん で い まし た 。|g o N _ w a , s o t o _ e _ m o _ d e _ r a r e _ n a k u _ t e _ a n a _ n o _ n a k a _ n i _ sh a g a N _ d e _ i _ m a sh i _ t a .
