timestamp,sentence,token_count,completed,is_last,avg_peak_frame,avg_max_attention,min_max_attention,max_max_attention,avg_entropy,is_monotonic,rewind_count,per_token_data
2026-01-31T15:38:22.023901, Korean )  (,7,True,False,94.14,0.4838,-0.2276,1.6996,nan,False,1,"[{""token_id"": 522, ""token_text"": "" ("", ""peak_frame"": 59, ""max_attention"": 1.524782419204712, ""attention_entropy"": NaN, ""content_mel_len"": 129, ""timestamp"": 1.18}, {""token_id"": 14579, ""token_text"": ""speaking"", ""peak_frame"": 59, ""max_attention"": -0.20953531563282013, ""attention_entropy"": NaN, ""content_mel_len"": 129, ""timestamp"": 1.18}, {""token_id"": 6933, ""token_text"": "" Korean"", ""peak_frame"": 83, ""max_attention"": -0.22755254805088043, ""attention_entropy"": NaN, ""content_mel_len"": 129, ""timestamp"": 1.6600000000000001}, {""token_id"": 8, ""token_text"": "")"", ""peak_frame"": 112, ""max_attention"": 0.3254927694797516, ""attention_entropy"": NaN, ""content_mel_len"": 129, ""timestamp"": 2.24}, {""token_id"": 6933, ""token_text"": "" Korean"", ""peak_frame"": 83, ""max_attention"": -0.06626883894205093, ""attention_entropy"": NaN, ""content_mel_len"": 155, ""timestamp"": 1.6600000000000001}, {""token_id"": 8, ""token_text"": "")"", ""peak_frame"": 110, ""max_attention"": 0.3398970365524292, ""attention_entropy"": NaN, ""content_mel_len"": 155, ""timestamp"": 2.2}, {""token_id"": 522, ""token_text"": "" ("", ""peak_frame"": 153, ""max_attention"": 1.6995919942855835, ""attention_entropy"": NaN, ""content_mel_len"": 155, ""timestamp"": 3.06}]"
2026-01-31T15:38:22.607528, and  you  will .  (,5,True,True,18.20,1.7764,1.2579,2.1479,nan,True,0,"[{""token_id"": 293, ""token_text"": "" and"", ""peak_frame"": 0, ""max_attention"": 1.6614675521850586, ""attention_entropy"": NaN, ""content_mel_len"": 51, ""timestamp"": 0.0}, {""token_id"": 291, ""token_text"": "" you"", ""peak_frame"": 7, ""max_attention"": 1.2579108476638794, ""attention_entropy"": NaN, ""content_mel_len"": 51, ""timestamp"": 0.14}, {""token_id"": 486, ""token_text"": "" will"", ""peak_frame"": 14, ""max_attention"": 1.8554965257644653, ""attention_entropy"": NaN, ""content_mel_len"": 51, ""timestamp"": 0.28}, {""token_id"": 13, ""token_text"": ""."", ""peak_frame"": 21, ""max_attention"": 2.1479287147521973, ""attention_entropy"": NaN, ""content_mel_len"": 51, ""timestamp"": 0.42}, {""token_id"": 522, ""token_text"": "" ("", ""peak_frame"": 49, ""max_attention"": 1.9593178033828735, ""attention_entropy"": NaN, ""content_mel_len"": 51, ""timestamp"": 0.98}]"
2026-01-31T15:38:26.629329, 지금...,2,True,False,193.00,1.7054,1.7032,1.7076,nan,True,0,"[{""token_id"": 7356, ""token_text"": "" 지금"", ""peak_frame"": 192, ""max_attention"": 1.7031688690185547, ""attention_entropy"": NaN, ""content_mel_len"": 206, ""timestamp"": 3.84}, {""token_id"": 7356, ""token_text"": "" 지금"", ""peak_frame"": 194, ""max_attention"": 1.7075963020324707, ""attention_entropy"": NaN, ""content_mel_len"": 232, ""timestamp"": 3.88}]"
2026-01-31T15:38:28.219811, 왜  또...,5,True,False,62.20,1.9807,1.6825,2.1445,nan,False,1,"[{""token_id"": 7356, ""token_text"": "" 지금"", ""peak_frame"": 13, ""max_attention"": 1.6825381517410278, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 0.26}, {""token_id"": 9883, ""token_text"": "" 왜"", ""peak_frame"": 67, ""max_attention"": 1.97384774684906, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 1.34}, {""token_id"": 7992, ""token_text"": "" 또"", ""peak_frame"": 82, ""max_attention"": 2.1444921493530273, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 1.6400000000000001}, {""token_id"": 9883, ""token_text"": "" 왜"", ""peak_frame"": 67, ""max_attention"": 1.9660263061523438, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.34}, {""token_id"": 7992, ""token_text"": "" 또"", ""peak_frame"": 82, ""max_attention"": 2.1364951133728027, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.6400000000000001}]"
2026-01-31T15:38:29.804778, 안될까요 ?,9,True,False,60.00,1.9263,1.6139,2.0870,nan,False,1,"[{""token_id"": 9883, ""token_text"": "" 왜"", ""peak_frame"": 3, ""max_attention"": 1.625300407409668, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 0.06}, {""token_id"": 7992, ""token_text"": "" 또"", ""peak_frame"": 4, ""max_attention"": 1.6139248609542847, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 0.08}, {""token_id"": 9658, ""token_text"": "" 안�"", ""peak_frame"": 66, ""max_attention"": 2.065657615661621, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 1.32}, {""token_id"": 238, ""token_text"": ""�"", ""peak_frame"": 76, ""max_attention"": 1.9705268144607544, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 1.52}, {""token_id"": 254, ""token_text"": ""�"", ""peak_frame"": 82, ""max_attention"": 2.077460527420044, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 1.6400000000000001}, {""token_id"": 9658, ""token_text"": "" 안�"", ""peak_frame"": 66, ""max_attention"": 2.0836949348449707, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.32}, {""token_id"": 238, ""token_text"": ""�"", ""peak_frame"": 76, ""max_attention"": 1.9879095554351807, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.52}, {""token_id"": 254, ""token_text"": ""�"", ""peak_frame"": 82, ""max_attention"": 2.0869503021240234, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.6400000000000001}, {""token_id"": 16474, ""token_text"": ""까요"", ""peak_frame"": 85, ""max_attention"": 1.8250598907470703, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.7}]"
2026-01-31T15:38:30.222199,까요 ?  -,3,True,True,28.00,1.3201,0.6967,1.6576,nan,True,0,"[{""token_id"": 16474, ""token_text"": ""까요"", ""peak_frame"": 4, ""max_attention"": 1.6576008796691895, ""attention_entropy"": NaN, ""content_mel_len"": 51, ""timestamp"": 0.08}, {""token_id"": 30, ""token_text"": ""?"", ""peak_frame"": 30, ""max_attention"": 1.606106162071228, ""attention_entropy"": NaN, ""content_mel_len"": 51, ""timestamp"": 0.6}, {""token_id"": 359, ""token_text"": "" -"", ""peak_frame"": 50, ""max_attention"": 0.696699321269989, ""attention_entropy"": NaN, ""content_mel_len"": 51, ""timestamp"": 1.0}]"
2026-01-31T15:38:33.815305, 된다 .,10,True,True,142.20,2.1202,1.6783,2.5790,nan,False,2,"[{""token_id"": 9076, ""token_text"": "" 어"", ""peak_frame"": 119, ""max_attention"": 1.6860332489013672, ""attention_entropy"": NaN, ""content_mel_len"": 155, ""timestamp"": 2.38}, {""token_id"": 8424, ""token_text"": "" 이제"", ""peak_frame"": 125, ""max_attention"": 1.825232982635498, ""attention_entropy"": NaN, ""content_mel_len"": 155, ""timestamp"": 2.5}, {""token_id"": 7992, ""token_text"": "" 또"", ""peak_frame"": 135, ""max_attention"": 2.158902645111084, ""attention_entropy"": NaN, ""content_mel_len"": 155, ""timestamp"": 2.7}, {""token_id"": 8424, ""token_text"": "" 이제"", ""peak_frame"": 125, ""max_attention"": 1.6782563924789429, ""attention_entropy"": NaN, ""content_mel_len"": 180, ""timestamp"": 2.5}, {""token_id"": 7992, ""token_text"": "" 또"", ""peak_frame"": 135, ""max_attention"": 2.1815991401672363, ""attention_entropy"": NaN, ""content_mel_len"": 180, ""timestamp"": 2.7}, {""token_id"": 16975, ""token_text"": "" 된"", ""peak_frame"": 146, ""max_attention"": 2.207063913345337, ""attention_entropy"": NaN, ""content_mel_len"": 180, ""timestamp"": 2.92}, {""token_id"": 1235, ""token_text"": ""다"", ""peak_frame"": 156, ""max_attention"": 2.579002857208252, ""attention_entropy"": NaN, ""content_mel_len"": 180, ""timestamp"": 3.12}, {""token_id"": 16975, ""token_text"": "" 된"", ""peak_frame"": 146, ""max_attention"": 2.2072105407714844, ""attention_entropy"": NaN, ""content_mel_len"": 180, ""timestamp"": 2.92}, {""token_id"": 1235, ""token_text"": ""다"", ""peak_frame"": 156, ""max_attention"": 2.57902193069458, ""attention_entropy"": NaN, ""content_mel_len"": 180, ""timestamp"": 3.12}, {""token_id"": 13, ""token_text"": ""."", ""peak_frame"": 179, ""max_attention"": 2.0994362831115723, ""attention_entropy"": NaN, ""content_mel_len"": 180, ""timestamp"": 3.58}]"
2026-01-31T15:38:39.510068, 또  된다 .,3,True,False,15.67,1.9284,1.7145,2.1157,nan,True,0,"[{""token_id"": 7992, ""token_text"": "" 또"", ""peak_frame"": 4, ""max_attention"": 1.7145140171051025, ""attention_entropy"": NaN, ""content_mel_len"": 358, ""timestamp"": 0.08}, {""token_id"": 16975, ""token_text"": "" 된"", ""peak_frame"": 16, ""max_attention"": 1.9549401998519897, ""attention_entropy"": NaN, ""content_mel_len"": 358, ""timestamp"": 0.32}, {""token_id"": 1235, ""token_text"": ""다"", ""peak_frame"": 27, ""max_attention"": 2.1156609058380127, ""attention_entropy"": NaN, ""content_mel_len"": 358, ""timestamp"": 0.54}]"
2026-01-31T15:38:40.509054," 삭제하고 ,",13,True,False,36.38,2.2966,1.5522,3.2654,nan,False,1,"[{""token_id"": 7047, ""token_text"": "" 기"", ""peak_frame"": 0, ""max_attention"": 1.6815613508224487, ""attention_entropy"": NaN, ""content_mel_len"": 76, ""timestamp"": 0.0}, {""token_id"": 21412, ""token_text"": ""터�"", ""peak_frame"": 11, ""max_attention"": 1.7673283815383911, ""attention_entropy"": NaN, ""content_mel_len"": 76, ""timestamp"": 0.22}, {""token_id"": 116, ""token_text"": ""�"", ""peak_frame"": 20, ""max_attention"": 1.960299015045166, ""attention_entropy"": NaN, ""content_mel_len"": 76, ""timestamp"": 0.4}, {""token_id"": 29039, ""token_text"": ""�를"", ""peak_frame"": 24, ""max_attention"": 1.8610249757766724, ""attention_entropy"": NaN, ""content_mel_len"": 76, ""timestamp"": 0.48}, {""token_id"": 2774, ""token_text"": "" �"", ""peak_frame"": 30, ""max_attention"": 2.5369462966918945, ""attention_entropy"": NaN, ""content_mel_len"": 76, ""timestamp"": 0.6}, {""token_id"": 255, ""token_text"": ""�"", ""peak_frame"": 36, ""max_attention"": 1.5522255897521973, ""attention_entropy"": NaN, ""content_mel_len"": 76, ""timestamp"": 0.72}, {""token_id"": 9767, ""token_text"": ""제"", ""peak_frame"": 41, ""max_attention"": 2.4902100563049316, ""attention_entropy"": NaN, ""content_mel_len"": 76, ""timestamp"": 0.8200000000000001}, {""token_id"": 7040, ""token_text"": ""하고"", ""peak_frame"": 53, ""max_attention"": 3.0437331199645996, ""attention_entropy"": NaN, ""content_mel_len"": 76, ""timestamp"": 1.06}, {""token_id"": 2774, ""token_text"": "" �"", ""peak_frame"": 30, ""max_attention"": 2.5351037979125977, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 0.6}, {""token_id"": 255, ""token_text"": ""�"", ""peak_frame"": 38, ""max_attention"": 1.6063446998596191, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 0.76}, {""token_id"": 9767, ""token_text"": ""제"", ""peak_frame"": 41, ""max_attention"": 2.5224502086639404, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 0.8200000000000001}, {""token_id"": 7040, ""token_text"": ""하고"", ""peak_frame"": 53, ""max_attention"": 3.033302068710327, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 1.06}, {""token_id"": 11, ""token_text"": "","", ""peak_frame"": 96, ""max_attention"": 3.2653541564941406, ""attention_entropy"": NaN, ""content_mel_len"": 102, ""timestamp"": 1.92}]"
2026-01-31T15:38:42.582869, 로그인하면  됩니다 .,14,True,False,85.36,2.5180,1.4192,3.5254,nan,False,1,"[{""token_id"": 12917, ""token_text"": "" 올�"", ""peak_frame"": 45, ""max_attention"": 1.6354496479034424, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 0.9}, {""token_id"": 108, ""token_text"": ""�"", ""peak_frame"": 54, ""max_attention"": 1.8889209032058716, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.08}, {""token_id"": 3261, ""token_text"": ""��"", ""peak_frame"": 59, ""max_attention"": 1.4191699028015137, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.18}, {""token_id"": 10798, ""token_text"": ""��"", ""peak_frame"": 61, ""max_attention"": 1.700778603553772, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.22}, {""token_id"": 10603, ""token_text"": "" 계"", ""peak_frame"": 69, ""max_attention"": 2.411520481109619, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.3800000000000001}, {""token_id"": 6170, ""token_text"": ""정"", ""peak_frame"": 76, ""max_attention"": 2.306560754776001, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.52}, {""token_id"": 4130, ""token_text"": ""으로"", ""peak_frame"": 84, ""max_attention"": 2.897171974182129, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.68}, {""token_id"": 26142, ""token_text"": "" 로"", ""peak_frame"": 97, ""max_attention"": 2.9446747303009033, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 1.94}, {""token_id"": 22069, ""token_text"": ""그"", ""peak_frame"": 103, ""max_attention"": 2.6136341094970703, ""attention_entropy"": NaN, ""content_mel_len"": 127, ""timestamp"": 2.06}, {""token_id"": 26142, ""token_text"": "" 로"", ""peak_frame"": 97, ""max_attention"": 2.941115140914917, ""attention_entropy"": NaN, ""content_mel_len"": 153, ""timestamp"": 1.94}, {""token_id"": 22069, ""token_text"": ""그"", ""peak_frame"": 103, ""max_attention"": 2.7071869373321533, ""attention_entropy"": NaN, ""content_mel_len"": 153, ""timestamp"": 2.06}, {""token_id"": 4215, ""token_text"": ""인"", ""peak_frame"": 109, ""max_attention"": 2.93133807182312, ""attention_entropy"": NaN, ""content_mel_len"": 153, ""timestamp"": 2.18}, {""token_id"": 16283, ""token_text"": ""하면"", ""peak_frame"": 114, ""max_attention"": 3.3294777870178223, ""attention_entropy"": NaN, ""content_mel_len"": 153, ""timestamp"": 2.2800000000000002}, {""token_id"": 23630, ""token_text"": "" 됩니다"", ""peak_frame"": 124, ""max_attention"": 3.525447368621826, ""attention_entropy"": NaN, ""content_mel_len"": 153, ""timestamp"": 2.48}]"
